; Adult arrivals for Baltic example
; Baltic Atlantic salmon returning to natal reaches
; Year,Species,Reach,Number,Fraction female,Arrival start,Arrival peak,Arrival end,Length min,Length mode,Length max
2018,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2018,7/20/2018,9/10/2018,52,65,82
2019,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2019,7/1/2019,8/31/2019,55,70,90
2019,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2019,7/15/2019,9/15/2019,50,65,85
2019,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2019,7/5/2019,9/1/2019,55,68,88
2019,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2019,7/15/2019,9/1/2019,55,68,85
2019,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2019,8/1/2019,9/15/2019,50,62,80
2019,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2019,7/20/2019,9/10/2019,52,65,82
2020,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2020,7/1/2020,8/31/2020,55,70,90
2020,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2020,7/15/2020,9/15/2020,50,65,85
2020,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2020,7/5/2020,9/1/2020,55,68,88
2020,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2020,7/15/2020,9/1/2020,55,68,85
2020,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2020,8/1/2020,9/15/2020,50,62,80
2020,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2020,7/20/2020,9/10/2020,52,65,82
2021,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2021,7/1/2021,8/31/2021,55,70,90
2021,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2021,7/15/2021,9/15/2021,50,65,85
2021,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2021,7/5/2021,9/1/2021,55,68,88
2021,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2021,7/15/2021,9/1/2021,55,68,85
2021,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2021,8/1/2021,9/15/2021,50,62,80
2021,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2021,7/20/2021,9/10/2021,52,65,82
2022,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2022,7/1/2022,8/31/2022,55,70,90
2022,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2022,7/15/2022,9/15/2022,50,65,85
2022,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2022,7/5/2022,9/1/2022,55,68,88
2022,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2022,7/15/2022,9/1/2022,55,68,85
2022,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2022,8/1/2022,9/15/2022,50,62,80
2022,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2022,7/20/2022,9/10/2022,52,65,82
2023,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2023,7/1/2023,8/31/2023,55,70,90
2023,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2023,7/15/2023,9/15/2023,50,65,85
2023,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2023,7/5/2023,9/1/2023,55,68,88
2023,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2023,7/15/2023,9/1/2023,55,68,85
2023,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2023,8/1/2023,9/15/2023,50,62,80
2023,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2023,7/20/2023,9/10/2023,52,65,82
2024,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2024,7/1/2024,8/31/2024,55,70,90
2024,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2024,7/15/2024,9/15/2024,50,65,85
2024,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2024,7/5/2024,9/1/2024,55,68,88
2024,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2024,7/15/2024,9/1/2024,55,68,85
2024,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2024,8/1/2024,9/15/2024,50,62,80
2024,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2024,7/20/2024,9/10/2024,52,65,82
2025,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2025,7/1/2025,8/31/2025,55,70,90
2025,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2025,7/15/2025,9/15/2025,50,65,85
2025,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2025,7/5/2025,9/1/2025,55,68,88
2025,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2025,7/15/2025,9/1/2025,55,68,85
2025,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2025,8/1/2025,9/15/2025,50,62,80
2025,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2025,7/20/2025,9/10/2025,52,65,82
2026,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2026,7/1/2026,8/31/2026,55,70,90
2026,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2026,7/15/2026,9/15/2026,50,65,85
2026,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2026,7/5/2026,9/1/2026,55,68,88
2026,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2026,7/15/2026,9/1/2026,55,68,85
2026,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2026,8/1/2026,9/15/2026,50,62,80
2026,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2026,7/20/2026,9/10/2026,52,65,82
2027,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2027,7/1/2027,8/31/2027,55,70,90
2027,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2027,7/15/2027,9/15/2027,50,65,85
2027,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2027,7/5/2027,9/1/2027,55,68,88
2027,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2027,7/15/2027,9/1/2027,55,68,85
2027,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2027,8/1/2027,9/15/2027,50,62,80
2027,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2027,7/20/2027,9/10/2027,52,65,82
2028,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2028,7/1/2028,8/31/2028,55,70,90
2028,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2028,7/15/2028,9/15/2028,50,65,85
2028,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2028,7/5/2028,9/1/2028,55,68,88
2028,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2028,7/15/2028,9/1/2028,55,68,85
2028,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2028,8/1/2028,9/15/2028,50,62,80
2028,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2028,7/20/2028,9/10/2028,52,65,82
2029,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2029,7/1/2029,8/31/2029,55,70,90
2029,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2029,7/15/2029,9/15/2029,50,65,85
2029,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2029,7/5/2029,9/1/2029,55,68,88
2029,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2029,7/15/2029,9/1/2029,55,68,85
2029,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2029,8/1/2029,9/15/2029,50,62,80
2029,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2029,7/20/2029,9/10/2029,52,65,82
2030,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2030,7/1/2030,8/31/2030,55,70,90
2030,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2030,7/15/2030,9/15/2030,50,65,85
2030,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2030,7/5/2030,9/1/2030,55,68,88
2030,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2030,7/15/2030,9/1/2030,55,68,85
2030,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2030,8/1/2030,9/15/2030,50,62,80
2030,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2030,7/20/2030,9/10/2030,52,65,82
2031,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2031,7/1/2031,8/31/2031,55,70,90
2031,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2031,7/15/2031,9/15/2031,50,65,85
2031,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2031,7/5/2031,9/1/2031,55,68,88
2031,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2031,7/15/2031,9/1/2031,55,68,85
2031,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2031,8/1/2031,9/15/2031,50,62,80
2031,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2031,7/20/2031,9/10/2031,52,65,82
2032,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2032,7/1/2032,8/31/2032,55,70,90
2032,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2032,7/15/2032,9/15/2032,50,65,85
2032,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2032,7/5/2032,9/1/2032,55,68,88
2032,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2032,7/15/2032,9/1/2032,55,68,85
2032,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2032,8/1/2032,9/15/2032,50,62,80
2032,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2032,7/20/2032,9/10/2032,52,65,82
2033,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2033,7/1/2033,8/31/2033,55,70,90
2033,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2033,7/15/2033,9/15/2033,50,65,85
2033,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2033,7/5/2033,9/1/2033,55,68,88
2033,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2033,7/15/2033,9/1/2033,55,68,85
2033,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2033,8/1/2033,9/15/2033,50,62,80
2033,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2033,7/20/2033,9/10/2033,52,65,82
2034,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2034,7/1/2034,8/31/2034,55,70,90
2034,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2034,7/15/2034,9/15/2034,50,65,85
2034,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2034,7/5/2034,9/1/2034,55,68,88
2034,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2034,7/15/2034,9/1/2034,55,68,85
2034,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2034,8/1/2034,9/15/2034,50,62,80
2034,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2034,7/20/2034,9/10/2034,52,65,82
2035,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2035,7/1/2035,8/31/2035,55,70,90
2035,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2035,7/15/2035,9/15/2035,50,65,85
2035,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2035,7/5/2035,9/1/2035,55,68,88
2035,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2035,7/15/2035,9/1/2035,55,68,85
2035,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2035,8/1/2035,9/15/2035,50,62,80
2035,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2035,7/20/2035,9/10/2035,52,65,82
2036,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2036,7/1/2036,8/31/2036,55,70,90
2036,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2036,7/15/2036,9/15/2036,50,65,85
2036,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2036,7/5/2036,9/1/2036,55,68,88
2036,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2036,7/15/2036,9/1/2036,55,68,85
2036,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2036,8/1/2036,9/15/2036,50,62,80
2036,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2036,7/20/2036,9/10/2036,52,65,82
2037,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2037,7/1/2037,8/31/2037,55,70,90
2037,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2037,7/15/2037,9/15/2037,50,65,85
2037,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2037,7/5/2037,9/1/2037,55,68,88
2037,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2037,7/15/2037,9/1/2037,55,68,85
2037,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2037,8/1/2037,9/15/2037,50,62,80
2037,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2037,7/20/2037,9/10/2037,52,65,82
2038,BalticAtlanticSalmon,MainStem,150,0.55,5/15/2038,7/1/2038,8/31/2038,55,70,90
2038,BalticAtlanticSalmon,WestTrib,100,0.60,6/1/2038,7/15/2038,9/15/2038,50,65,85
2038,BalticAtlanticSalmon,EastTrib,120,0.50,5/20/2038,7/5/2038,9/1/2038,55,68,88
2038,BalticAtlanticSalmon,CentralDelta,40,0.55,6/1/2038,7/15/2038,9/1/2038,55,68,85
2038,BalticAtlanticSalmon,WestDelta,25,0.60,6/15/2038,8/1/2038,9/15/2038,50,62,80
2038,BalticAtlanticSalmon,EastDelta,30,0.50,6/10/2038,7/20/2038,9/10/2038,52,65,82
